I0 Pd 25kV 3.5mA 0.5eV Si1266 20s
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	2.63265000E+5	1.03320000E+4	2.10039000E+5	5.05228480E+0	4.78573792E+0	2.15891471E+3	4.38892975E+4	4.15730720E+4
1.69350000E+4	8.21417211E+1	-2.49854000E+5	2.65382000E+5	1.02970000E+4	2.07564000E+5	5.05149728E+0	4.78986816E+0	2.14974602E+3	4.33345582E+4	4.10895995E+4
1.69360000E+4	8.21172473E+1	-2.51966000E+5	2.67491000E+5	1.03650000E+4	2.06463000E+5	5.04972384E+0	4.77955872E+0	2.16861024E+3	4.31968433E+4	4.08859982E+4
1.69370000E+4	8.20928517E+1	-2.54072000E+5	2.69593000E+5	9.70600000E+3	2.04077000E+5	5.05034208E+0	4.78578528E+0	2.02808932E+3	4.26425879E+4	4.04085499E+4
1.69380000E+4	8.20685336E+1	-2.56171000E+5	2.71688000E+5	9.86600000E+3	2.04523000E+5	5.05129920E+0	4.78765664E+0	2.06071587E+3	4.27190400E+4	4.04891874E+4
1.69390000E+4	8.20442921E+1	-2.58262000E+5	2.73775000E+5	9.93900000E+3	2.02801000E+5	5.05118656E+0	4.79960800E+0	2.07079411E+3	4.22547681E+4	4.01491803E+4
1.69400000E+4	8.20201267E+1	-2.60346000E+5	2.75856000E+5	9.64900000E+3	2.01915000E+5	5.04933600E+0	4.78872544E+0	2.01494116E+3	4.21636546E+4	3.99884262E+4
1.69410000E+4	8.19960366E+1	-2.62424000E+5	2.77929000E+5	9.63300000E+3	2.00716000E+5	5.05040480E+0	4.79037632E+0	2.01090673E+3	4.18998825E+4	3.97425569E+4
1.69420000E+4	8.19720212E+1	-2.64494000E+5	2.79996000E+5	9.70600000E+3	2.00459000E+5	5.05010048E+0	4.79225504E+0	2.02535131E+3	4.18300652E+4	3.96940617E+4
1.69430000E+4	8.19480797E+1	-2.66558000E+5	2.82056000E+5	9.89700000E+3	1.99904000E+5	5.05134144E+0	4.79657216E+0	2.06334851E+3	4.16773650E+4	3.95744383E+4
1.69440000E+4	8.19242115E+1	-2.68614000E+5	2.84109000E+5	9.88900000E+3	1.99064000E+5	5.05002816E+0	4.79562528E+0	2.06208772E+3	4.15094116E+4	3.94183941E+4
1.69450000E+4	8.19004161E+1	-2.70664000E+5	2.86155000E+5	9.79300000E+3	1.97810000E+5	5.05065728E+0	4.78986016E+0	2.04452733E+3	4.12968296E+4	3.91651995E+4
1.69460000E+4	8.18766926E+1	-2.72708000E+5	2.88194000E+5	9.89000000E+3	1.98706000E+5	5.04984416E+0	4.79806304E+0	2.06124845E+3	4.14130369E+4	3.93489371E+4
1.69470000E+4	8.18530406E+1	-2.74744000E+5	2.90227000E+5	9.83900000E+3	1.97777000E+5	5.05097888E+0	4.79736224E+0	2.05091871E+3	4.12266841E+4	3.91561724E+4
1.69480000E+4	8.18294594E+1	-2.76774000E+5	2.92253000E+5	9.91500000E+3	1.97280000E+5	5.05105792E+0	4.79490080E+0	2.06782172E+3	4.11428717E+4	3.90571645E+4
1.69490000E+4	8.18059483E+1	-2.78798000E+5	2.94273000E+5	9.98500000E+3	1.96715000E+5	5.05122816E+0	4.79816928E+0	2.08100203E+3	4.09979162E+4	3.89439942E+4
1.69500000E+4	8.17825068E+1	-2.80815000E+5	2.96286000E+5	1.00110000E+4	1.96347000E+5	5.04919776E+0	4.79294272E+0	2.08869594E+3	4.09667674E+4	3.88867716E+4
1.69510000E+4	8.17591343E+1	-2.82825000E+5	2.98293000E+5	9.98300000E+3	1.95070000E+5	5.05024064E+0	4.79447936E+0	2.08218646E+3	4.06873839E+4	3.86258822E+4
1.69520000E+4	8.17358302E+1	-2.84829000E+5	3.00294000E+5	9.92900000E+3	1.95603000E+5	5.04955296E+0	4.79635680E+0	2.07011288E+3	4.07826824E+4	3.87366964E+4
1.69530000E+4	8.17125939E+1	-2.86827000E+5	3.02288000E+5	1.00010000E+4	1.95418000E+5	5.05104576E+0	4.79769664E+0	2.08454197E+3	4.07313412E+4	3.86886220E+4
1.69540000E+4	8.16894248E+1	-2.88819000E+5	3.04276000E+5	9.90400000E+3	1.94887000E+5	5.05002176E+0	4.80030240E+0	2.06320335E+3	4.05998194E+4	3.85913189E+4
1.69550000E+4	8.16663224E+1	-2.90805000E+5	3.06257000E+5	9.71600000E+3	1.95098000E+5	5.04978816E+0	4.79636704E+0	2.02569985E+3	4.06757572E+4	3.86350860E+4
1.69560000E+4	8.16432862E+1	-2.92784000E+5	3.08233000E+5	9.91800000E+3	1.94890000E+5	5.05141824E+0	4.80382688E+0	2.06460396E+3	4.05689299E+4	3.85812441E+4
1.69570000E+4	8.16203155E+1	-2.94757000E+5	3.10202000E+5	9.99000000E+3	1.95010000E+5	5.05108896E+0	4.79735776E+0	2.08239629E+3	4.06486455E+4	3.86075164E+4
1.69580000E+4	8.15974099E+1	-2.96724000E+5	3.12166000E+5	1.01770000E+4	1.95078000E+5	5.05116160E+0	4.79891840E+0	2.12068619E+3	4.06510508E+4	3.86204235E+4
1.69590000E+4	8.15745688E+1	-2.98685000E+5	3.14123000E+5	1.04950000E+4	1.94204000E+5	5.04982944E+0	4.79945056E+0	2.18670864E+3	4.04645204E+4	3.84575365E+4
1.69600000E+4	8.15517917E+1	-3.00640000E+5	3.16074000E+5	1.00170000E+4	1.93871000E+5	5.05043296E+0	4.80181312E+0	2.08608702E+3	4.03743247E+4	3.83870059E+4
