I0 Pd 25kV 3.5mA 0.5eV Si1266 20s offset
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	5.17545000E+5	9.95000000E+2	2.82380000E+4	5.05027360E+0	4.96410048E+0	2.00439134E+2	5.68844212E+3	5.59138024E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	5.19586000E+5	1.05300000E+3	2.83300000E+4	5.05107520E+0	4.97178976E+0	2.11794957E+2	5.69805552E+3	5.60870684E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	5.21620000E+5	1.01700000E+3	2.84030000E+4	5.04947200E+0	4.96012192E+0	2.05035283E+2	5.72620776E+3	5.62494455E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	5.23647000E+5	1.00400000E+3	2.84140000E+4	5.04931488E+0	4.96416928E+0	2.02249348E+2	5.72372852E+3	5.62729809E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	5.25666000E+5	9.63000000E+2	2.79920000E+4	5.05089152E+0	4.96932480E+0	1.93788903E+2	5.63279522E+3	5.54199192E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	5.27679000E+5	1.00300000E+3	2.84510000E+4	5.05047744E+0	4.96581888E+0	2.01980786E+2	5.72932352E+3	5.63332880E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	5.29684000E+5	1.03400000E+3	2.79910000E+4	5.05188320E+0	4.96744800E+0	2.08155173E+2	5.63475819E+3	5.54070609E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	5.31683000E+5	1.00300000E+3	2.79340000E+4	5.05125696E+0	4.97315232E+0	2.01682944E+2	5.61682154E+3	5.53010869E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	5.33675000E+5	9.98000000E+2	2.81840000E+4	5.05050656E+0	4.96441664E+0	2.01030669E+2	5.67714626E+3	5.58043033E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	5.35660000E+5	9.93000000E+2	2.79650000E+4	5.04993440E+0	4.96299648E+0	2.00080738E+2	5.63468380E+3	5.53769570E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	5.37638000E+5	9.91000000E+2	2.80590000E+4	5.04953568E+0	4.96683040E+0	1.99523624E+2	5.64933189E+3	5.55694657E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	5.39609000E+5	1.06100000E+3	2.82330000E+4	5.04929920E+0	4.97213216E+0	2.13389340E+2	5.67814970E+3	5.59146901E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	5.41574000E+5	9.58000000E+2	2.80890000E+4	5.04908960E+0	4.96570944E+0	1.92923088E+2	5.65645573E+3	5.56318113E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	5.43532000E+5	1.01500000E+3	2.79270000E+4	5.05065824E+0	4.97100768E+0	2.04183953E+2	5.61792760E+3	5.52937829E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	5.45484000E+5	9.61000000E+2	2.80380000E+4	5.05184832E+0	4.96824640E+0	1.93428410E+2	5.64327728E+3	5.55004787E+3
1.69490000E+4	8.18059483E+1	-2.78798000E+5	5.47429000E+5	9.63000000E+2	2.79660000E+4	5.05025632E+0	4.97343712E+0	1.93628667E+2	5.62307263E+3	5.53754072E+3
1.69500000E+4	8.17825068E+1	-2.80815000E+5	5.49368000E+5	9.68000000E+2	2.78750000E+4	5.05096768E+0	4.96686080E+0	1.94891711E+2	5.61219182E+3	5.51874448E+3
1.69510000E+4	8.17591343E+1	-2.82825000E+5	5.51301000E+5	1.06400000E+3	2.79880000E+4	5.05034432E+0	4.96310304E+0	2.14382009E+2	5.63912609E+3	5.54180037E+3
1.69520000E+4	8.17358302E+1	-2.84829000E+5	5.53227000E+5	1.06100000E+3	2.79830000E+4	5.04929408E+0	4.96439520E+0	2.13721905E+2	5.63673097E+3	5.54196281E+3
