UTi2O6 Pd 25kV 3.5mA 0.5eV Si1266
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	2.63265000E+5	4.54500000E+3	2.73780000E+4	5.05050912E+0	4.96332384E+0	9.15716997E+2	5.51771296E+3	5.42262163E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	2.65382000E+5	4.73400000E+3	2.74880000E+4	5.04970112E+0	4.96389536E+0	9.53686502E+2	5.53905284E+3	5.44507474E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	2.67491000E+5	4.63800000E+3	2.75350000E+4	5.05018144E+0	4.96573024E+0	9.34001602E+2	5.54626111E+3	5.45366544E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	2.69593000E+5	4.41600000E+3	2.70550000E+4	5.04978176E+0	4.96883136E+0	8.88740164E+2	5.44524874E+3	5.35805333E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	2.71688000E+5	4.46400000E+3	2.72310000E+4	5.05120000E+0	4.96198336E+0	8.99640260E+2	5.48906818E+3	5.39218404E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	2.73775000E+5	4.49700000E+3	2.68610000E+4	5.04957248E+0	4.95770304E+0	9.07073289E+2	5.41908810E+3	5.32064845E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	2.75856000E+5	4.46900000E+3	2.68020000E+4	5.05090528E+0	4.96525248E+0	9.00054935E+2	5.39911667E+3	5.30756340E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	2.77929000E+5	4.46600000E+3	2.68220000E+4	5.05145664E+0	4.96543808E+0	8.99417116E+2	5.40370605E+3	5.31173519E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	2.79996000E+5	4.34000000E+3	2.65250000E+4	5.05050528E+0	4.96333888E+0	8.74411380E+2	5.34537091E+3	5.25313776E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	2.82056000E+5	4.51400000E+3	2.68580000E+4	5.05132864E+0	4.96679456E+0	9.08835658E+2	5.40971786E+3	5.31919460E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	2.84109000E+5	4.43600000E+3	2.66960000E+4	5.04969472E+0	4.96676864E+0	8.93136025E+2	5.37564689E+3	5.28744835E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	2.86155000E+5	4.54100000E+3	2.63710000E+4	5.05013376E+0	4.95511104E+0	9.16427495E+2	5.32396057E+3	5.22382203E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	2.88194000E+5	4.48400000E+3	2.64180000E+4	5.05202432E+0	4.96390752E+0	9.03320616E+2	5.32294224E+3	5.23018068E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	2.90227000E+5	4.46600000E+3	2.64780000E+4	5.05164672E+0	4.96909408E+0	8.98755372E+2	5.32963392E+3	5.24264690E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	2.92253000E+5	4.42500000E+3	2.63360000E+4	5.05038784E+0	4.96593984E+0	8.91069997E+2	5.30531611E+3	5.21662907E+3
1.69490000E+4	8.18059483E+1	-2.78798000E+5	2.94273000E+5	4.46900000E+3	2.63800000E+4	5.05008992E+0	4.96355200E+0	9.00363288E+2	5.31545143E+3	5.22446143E+3
1.69500000E+4	8.17825068E+1	-2.80815000E+5	2.96286000E+5	4.42700000E+3	2.62410000E+4	5.05065504E+0	4.97037792E+0	8.90676740E+2	5.28054508E+3	5.19675167E+3
1.69510000E+4	8.17591343E+1	-2.82825000E+5	2.98293000E+5	4.56500000E+3	2.62780000E+4	5.05006784E+0	4.96297184E+0	9.19811788E+2	5.29613673E+3	5.20488057E+3
