UTi2O6 Pd 25kV 3.5mA 0.5eV Si1266 offset
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	5.17545000E+5	3.25000000E+2	5.48900000E+3	5.05085280E+0	4.96009952E+0	6.55228789E+1	1.10864689E+3	1.08872704E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	5.19586000E+5	3.74000000E+2	5.39800000E+3	5.05179584E+0	4.96052448E+0	7.53952534E+1	1.08999347E+3	1.07031245E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	5.21620000E+5	3.05000000E+2	5.41300000E+3	5.05072480E+0	4.96856352E+0	6.13859516E+1	1.09105035E+3	1.07331130E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	5.23647000E+5	3.34000000E+2	5.30200000E+3	5.05111616E+0	4.93894752E+0	6.76257439E+1	1.07451478E+3	1.05065887E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	5.25666000E+5	3.29000000E+2	5.35000000E+3	5.05081568E+0	4.95771904E+0	6.63611627E+1	1.08152047E+3	1.06180869E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	5.27679000E+5	3.36000000E+2	5.28400000E+3	5.04920384E+0	4.93855424E+0	6.80361060E+1	1.07216096E+3	1.04868018E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	5.29684000E+5	3.32000000E+2	5.39600000E+3	5.05019104E+0	4.95779264E+0	6.69652856E+1	1.08896995E+3	1.06906847E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	5.31683000E+5	3.46000000E+2	5.32300000E+3	5.05036800E+0	4.96775488E+0	6.96491692E+1	1.07269994E+3	1.05517063E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	5.33675000E+5	3.04000000E+2	5.42800000E+3	5.05022112E+0	4.96997504E+0	6.11673092E+1	1.09335965E+3	1.07599249E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	5.35660000E+5	2.90000000E+2	5.42600000E+3	5.05127264E+0	4.97757376E+0	5.82613165E+1	1.09126104E+3	1.07537256E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	5.37638000E+5	3.26000000E+2	5.39900000E+3	5.05074688E+0	4.95479008E+0	6.57949166E+1	1.09185702E+3	1.07112871E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	5.39609000E+5	3.24000000E+2	5.43700000E+3	5.04989344E+0	4.95004128E+0	6.54539996E+1	1.09895646E+3	1.07725045E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	5.41574000E+5	3.36000000E+2	5.42600000E+3	5.05109664E+0	4.95453632E+0	6.78166388E+1	1.09613554E+3	1.07521206E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	5.43532000E+5	3.41000000E+2	5.35900000E+3	5.04953472E+0	4.95134848E+0	6.88701273E+1	1.08454232E+3	1.06366236E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	5.45484000E+5	3.05000000E+2	5.36600000E+3	5.04990080E+0	4.96447776E+0	6.14364722E+1	1.08228683E+3	1.06417932E+3
1.69490000E+4	8.18059483E+1	-2.78798000E+5	5.47429000E+5	3.26000000E+2	5.28100000E+3	5.04985216E+0	4.96114688E+0	6.57106125E+1	1.06605941E+3	1.04735739E+3
1.69500000E+4	8.17825068E+1	-2.80815000E+5	5.49368000E+5	3.26000000E+2	5.40400000E+3	5.05001024E+0	4.95955136E+0	6.57317520E+1	1.09120310E+3	1.07168100E+3
1.69510000E+4	8.17591343E+1	-2.82825000E+5	5.51301000E+5	3.39000000E+2	5.33700000E+3	5.05043136E+0	4.95090560E+0	6.84723215E+1	1.07918446E+3	1.05792944E+3
1.69520000E+4	8.17358302E+1	-2.84829000E+5	5.53227000E+5	3.33000000E+2	5.28400000E+3	5.05053216E+0	4.96111008E+0	6.71220744E+1	1.06748685E+3	1.04860237E+3
1.69530000E+4	8.17125939E+1	-2.86827000E+5	5.55146000E+5	3.29000000E+2	5.24500000E+3	5.04956064E+0	4.96411360E+0	6.62756791E+1	1.05756307E+3	1.03969442E+3
1.69540000E+4	8.16894248E+1	-2.88819000E+5	5.57060000E+5	3.28000000E+2	5.34600000E+3	5.05088928E+0	4.94697088E+0	6.63032001E+1	1.08246981E+3	1.06020934E+3
1.69550000E+4	8.16663224E+1	-2.90805000E+5	5.58968000E+5	3.30000000E+2	5.34300000E+3	5.05117440E+0	4.95701216E+0	6.65723604E+1	1.07906220E+3	1.05896165E+3
