I0 Pd 25kV 3.5mA 0.5eV Si1266 20s
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	2.63265000E+5	1.01170000E+4	2.10240000E+5	5.05133760E+0	4.78513536E+0	2.11425576E+3	4.39370998E+4	4.16206591E+4
1.69350000E+4	8.21417211E+1	-2.49854000E+5	2.65382000E+5	1.03620000E+4	2.08979000E+5	5.05139712E+0	4.78662752E+0	2.16478094E+3	4.36602839E+4	4.13705347E+4
1.69360000E+4	8.21172473E+1	-2.51966000E+5	2.67491000E+5	1.00290000E+4	2.07320000E+5	5.05080928E+0	4.78354528E+0	2.09656215E+3	4.33414050E+4	4.10468874E+4
1.69370000E+4	8.20928517E+1	-2.54072000E+5	2.69593000E+5	9.84800000E+3	2.05104000E+5	5.04969856E+0	4.78827200E+0	2.05669185E+3	4.28352941E+4	4.06170779E+4
1.69380000E+4	8.20685336E+1	-2.56171000E+5	2.71688000E+5	9.95900000E+3	2.04096000E+5	5.05025472E+0	4.78767200E+0	2.08013414E+3	4.26290864E+4	4.04130111E+4
1.69390000E+4	8.20442921E+1	-2.58262000E+5	2.73775000E+5	9.83600000E+3	2.02900000E+5	5.05129856E+0	4.79214176E+0	2.05252693E+3	4.23390174E+4	4.01678890E+4
1.69400000E+4	8.20201267E+1	-2.60346000E+5	2.75856000E+5	9.71800000E+3	2.03168000E+5	5.05185888E+0	4.79144448E+0	2.02819839E+3	4.24018451E+4	4.02164836E+4
1.69410000E+4	8.19960366E+1	-2.62424000E+5	2.77929000E+5	9.77400000E+3	2.01684000E+5	5.05093024E+0	4.79715008E+0	2.03745971E+3	4.20421533E+4	3.99300704E+4
1.69420000E+4	8.19720212E+1	-2.64494000E+5	2.79996000E+5	9.78200000E+3	2.00704000E+5	5.04992160E+0	4.79372640E+0	2.04058371E+3	4.18684380E+4	3.97439834E+4
1.69430000E+4	8.19480797E+1	-2.66558000E+5	2.82056000E+5	9.64900000E+3	1.99720000E+5	5.05035904E+0	4.79551392E+0	2.01208883E+3	4.16468243E+4	3.95457033E+4
1.69440000E+4	8.19242115E+1	-2.68614000E+5	2.84109000E+5	9.86800000E+3	1.99520000E+5	5.05016000E+0	4.78904416E+0	2.06053644E+3	4.16613515E+4	3.95076592E+4
1.69450000E+4	8.19004161E+1	-2.70664000E+5	2.86155000E+5	9.87500000E+3	1.98871000E+5	5.05068224E+0	4.78963872E+0	2.06174214E+3	4.15209037E+4	3.93750766E+4
1.69460000E+4	8.18766926E+1	-2.72708000E+5	2.88194000E+5	9.83400000E+3	1.98660000E+5	5.05059168E+0	4.79558720E+0	2.05063522E+3	4.14248680E+4	3.93342033E+4
1.69470000E+4	8.18530406E+1	-2.74744000E+5	2.90227000E+5	9.72500000E+3	1.97859000E+5	5.04977984E+0	4.79381536E+0	2.02865552E+3	4.12737833E+4	3.91819062E+4
1.69480000E+4	8.18294594E+1	-2.76774000E+5	2.92253000E+5	9.84100000E+3	1.97506000E+5	5.05001760E+0	4.79361216E+0	2.05294039E+3	4.12009854E+4	3.91099627E+4
1.69490000E+4	8.18059483E+1	-2.78798000E+5	2.94273000E+5	9.97200000E+3	1.97216000E+5	5.05092768E+0	4.79786976E+0	2.07842240E+3	4.11046063E+4	3.90455006E+4
1.69500000E+4	8.17825068E+1	-2.80815000E+5	2.96286000E+5	9.82000000E+3	1.97036000E+5	5.05030336E+0	4.79682496E+0	2.04718748E+3	4.10774947E+4	3.90146860E+4
1.69510000E+4	8.17591343E+1	-2.82825000E+5	2.98293000E+5	1.00850000E+4	1.95969000E+5	5.05036448E+0	4.79316960E+0	2.10403571E+3	4.08857221E+4	3.88029420E+4
1.69520000E+4	8.17358302E+1	-2.84829000E+5	3.00294000E+5	1.00630000E+4	1.96661000E+5	5.05164736E+0	4.79833984E+0	2.09718368E+3	4.09848432E+4	3.89300729E+4
1.69530000E+4	8.17125939E+1	-2.86827000E+5	3.02288000E+5	9.90800000E+3	1.95864000E+5	5.04971360E+0	4.80087232E+0	2.06379161E+3	4.07964816E+4	3.87871502E+4
1.69540000E+4	8.16894248E+1	-2.88819000E+5	3.04276000E+5	9.72200000E+3	1.95593000E+5	5.05054816E+0	4.79590368E+0	2.02714663E+3	4.07839796E+4	3.87270834E+4
1.69550000E+4	8.16663224E+1	-2.90805000E+5	3.06257000E+5	9.88800000E+3	1.95607000E+5	5.05101984E+0	4.79665696E+0	2.06143572E+3	4.07794718E+4	3.87262387E+4
1.69560000E+4	8.16432862E+1	-2.92784000E+5	3.08233000E+5	9.78500000E+3	1.95985000E+5	5.04883424E+0	4.79640608E+0	2.04006913E+3	4.08608440E+4	3.88178717E+4
1.69570000E+4	8.16203155E+1	-2.94757000E+5	3.10202000E+5	9.83800000E+3	1.95481000E+5	5.04994272E+0	4.79313632E+0	2.05251830E+3	4.07833636E+4	3.87095480E+4
1.69580000E+4	8.15974099E+1	-2.96724000E+5	3.12166000E+5	1.00940000E+4	1.95537000E+5	5.05129632E+0	4.79992256E+0	2.10295059E+3	4.07379854E+4	3.87102612E+4
1.69590000E+4	8.15745688E+1	-2.98685000E+5	3.14123000E+5	1.04060000E+4	1.95443000E+5	5.05031616E+0	4.79717856E+0	2.16919172E+3	4.07404383E+4	3.86991614E+4
1.69600000E+4	8.15517917E+1	-3.00640000E+5	3.16074000E+5	9.99900000E+3	1.94225000E+5	5.05091008E+0	4.80041664E+0	2.08294420E+3	4.04604662E+4	3.84534662E+4
1.69610000E+4	8.15290781E+1	-3.02590000E+5	3.18020000E+5	9.84700000E+3	1.94604000E+5	5.05044480E+0	4.79270240E+0	2.05458198E+3	4.06033661E+4	3.85322497E+4
1.69620000E+4	8.15064274E+1	-3.04533000E+5	3.19959000E+5	9.77800000E+3	1.95450000E+5	5.04998016E+0	4.79866080E+0	2.03765184E+3	4.07305802E+4	3.87031224E+4
1.69630000E+4	8.14838392E+1	-3.06470000E+5	3.21893000E+5	9.90900000E+3	1.94407000E+5	5.04949504E+0	4.79642688E+0	2.06591287E+3	4.05327741E+4	3.85002854E+4
1.69640000E+4	8.14613130E+1	-3.08402000E+5	3.23821000E+5	9.80800000E+3	1.94900000E+5	5.04998528E+0	4.80231296E+0	2.04234919E+3	4.05841503E+4	3.85941719E+4
1.69650000E+4	8.14388482E+1	-3.10328000E+5	3.25743000E+5	9.84800000E+3	1.97636000E+5	5.04967872E+0	4.79252672E+0	2.05486596E+3	4.12374188E+4	3.91383316E+4
1.69660000E+4	8.14164444E+1	-3.12248000E+5	3.27660000E+5	9.79500000E+3	1.99760000E+5	5.04971776E+0	4.79407520E+0	2.04314692E+3	4.16681649E+4	3.95586465E+4
