I0 Pd 25kV 3.5mA 0.5eV Si1266 20s offset
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	5.17545000E+5	1.01300000E+3	2.84360000E+4	5.04983776E+0	4.96740768E+0	2.03929306E+2	5.72439858E+3	5.63107200E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	5.19586000E+5	9.92000000E+2	2.87480000E+4	5.05114720E+0	4.97200640E+0	1.99517040E+2	5.78189447E+3	5.69138037E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	5.21620000E+5	9.92000000E+2	2.82500000E+4	5.05001984E+0	4.96975904E+0	1.99607263E+2	5.68426837E+3	5.59403743E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	5.23647000E+5	9.77000000E+2	2.82370000E+4	5.05059968E+0	4.96484288E+0	1.96783669E+2	5.68734901E+3	5.59082125E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	5.25666000E+5	1.00900000E+3	2.85610000E+4	5.04961888E+0	4.96424704E+0	2.03253382E+2	5.75322562E+3	5.65607042E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	5.27679000E+5	1.02300000E+3	2.81350000E+4	5.05047680E+0	4.96627584E+0	2.05989364E+2	5.66505221E+3	5.57076116E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	5.29684000E+5	9.94000000E+2	2.82400000E+4	5.05095424E+0	4.96957184E+0	2.00017231E+2	5.68245767E+3	5.59102274E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	5.31683000E+5	9.49000000E+2	2.83320000E+4	5.05015456E+0	4.96580480E+0	1.91106988E+2	5.70529175E+3	5.61012533E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	5.33675000E+5	1.03900000E+3	2.78990000E+4	5.05007872E+0	4.96978784E+0	2.09063250E+2	5.61365104E+3	5.52446834E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	5.35660000E+5	1.04800000E+3	2.83870000E+4	5.04957312E+0	4.96325920E+0	2.11151576E+2	5.71939078E+3	5.62166332E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	5.37638000E+5	9.81000000E+2	2.77460000E+4	5.05054144E+0	4.96286368E+0	1.97668133E+2	5.59068982E+3	5.49366842E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	5.39609000E+5	1.00600000E+3	2.82150000E+4	5.05112512E+0	4.97320864E+0	2.02283892E+2	5.67324268E+3	5.58588420E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	5.41574000E+5	1.02200000E+3	2.81060000E+4	5.04982624E+0	4.96571648E+0	2.05811186E+2	5.65989040E+3	5.56573606E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	5.43532000E+5	9.66000000E+2	2.78500000E+4	5.05149728E+0	4.96893824E+0	1.94407729E+2	5.60466572E+3	5.51321687E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	5.45484000E+5	1.01000000E+3	2.79630000E+4	5.05028800E+0	4.97116256E+0	2.03171791E+2	5.62516915E+3	5.53710996E+3
1.69490000E+4	8.18059483E+1	-2.78798000E+5	5.47429000E+5	9.65000000E+2	2.82320000E+4	5.05173120E+0	4.96920992E+0	1.94195861E+2	5.68126571E+3	5.58857922E+3
1.69500000E+4	8.17825068E+1	-2.80815000E+5	5.49368000E+5	9.63000000E+2	2.78690000E+4	5.05122528E+0	4.97006656E+0	1.93759981E+2	5.60733513E+3	5.51727521E+3
1.69510000E+4	8.17591343E+1	-2.82825000E+5	5.51301000E+5	1.04000000E+3	2.80800000E+4	5.05043232E+0	4.96546176E+0	2.09446785E+2	5.65500916E+3	5.55992007E+3
1.69520000E+4	8.17358302E+1	-2.84829000E+5	5.53227000E+5	9.63000000E+2	2.78460000E+4	5.05102848E+0	4.97016576E+0	1.93756113E+2	5.60261145E+3	5.51293664E+3
1.69530000E+4	8.17125939E+1	-2.86827000E+5	5.55146000E+5	1.02100000E+3	2.77580000E+4	5.05000640E+0	4.96643840E+0	2.05579918E+2	5.58896026E+3	5.49662670E+3
1.69540000E+4	8.16894248E+1	-2.88819000E+5	5.57060000E+5	9.98000000E+2	2.79750000E+4	5.05030080E+0	4.97700256E+0	2.00522300E+2	5.62103312E+3	5.53947203E+3
1.69550000E+4	8.16663224E+1	-2.90805000E+5	5.58968000E+5	9.60000000E+2	2.74880000E+4	5.04995424E+0	4.96426624E+0	1.93382054E+2	5.53702526E+3	5.44321764E+3
1.69560000E+4	8.16432862E+1	-2.92784000E+5	5.60869000E+5	9.88000000E+2	2.77750000E+4	5.04994336E+0	4.96552000E+0	1.98972112E+2	5.59351868E+3	5.50006169E+3
1.69570000E+4	8.16203155E+1	-2.94757000E+5	5.62764000E+5	9.92000000E+2	2.78400000E+4	5.04994400E+0	4.96948768E+0	1.99618163E+2	5.60208544E+3	5.51293242E+3
1.69580000E+4	8.15974099E+1	-2.96724000E+5	5.64654000E+5	9.83000000E+2	2.75730000E+4	5.05013376E+0	4.97059072E+0	1.97763215E+2	5.54717716E+3	5.45985538E+3
1.69590000E+4	8.15745688E+1	-2.98685000E+5	5.66537000E+5	1.02600000E+3	2.78190000E+4	5.05047552E+0	4.96900256E+0	2.06480071E+2	5.59846813E+3	5.50819421E+3
1.69600000E+4	8.15517917E+1	-3.00640000E+5	5.68414000E+5	9.92000000E+2	2.76340000E+4	5.04962432E+0	4.96783392E+0	1.99684614E+2	5.56253320E+3	5.47248632E+3
1.69610000E+4	8.15290781E+1	-3.02590000E+5	5.70286000E+5	9.53000000E+2	2.77830000E+4	5.04995392E+0	4.96679456E+0	1.91874254E+2	5.59371791E+3	5.50163436E+3
1.69620000E+4	8.15064274E+1	-3.04533000E+5	5.72152000E+5	1.01500000E+3	2.76270000E+4	5.05106592E+0	4.96613088E+0	2.04384464E+2	5.56297877E+3	5.46953860E+3
1.69630000E+4	8.14838392E+1	-3.06470000E+5	5.74011000E+5	9.79000000E+2	2.77270000E+4	5.05021920E+0	4.96936192E+0	1.97007184E+2	5.57951257E+3	5.49025674E+3
1.69640000E+4	8.14613130E+1	-3.08402000E+5	5.75866000E+5	1.00600000E+3	2.75360000E+4	5.05086080E+0	4.96962816E+0	2.02429632E+2	5.54078190E+3	5.45174399E+3
1.69650000E+4	8.14388482E+1	-3.10328000E+5	5.77714000E+5	9.84000000E+2	2.75540000E+4	5.04970336E+0	4.96864928E+0	1.98041750E+2	5.54544479E+3	5.45655815E+3
1.69660000E+4	8.14164444E+1	-3.12248000E+5	5.79557000E+5	1.01000000E+3	2.77340000E+4	5.05107904E+0	4.97100256E+0	2.03178330E+2	5.57907803E+3	5.49070798E+3
1.69670000E+4	8.13941012E+1	-3.14163000E+5	5.81394000E+5	1.00900000E+3	2.79640000E+4	5.05020288E+0	4.96073824E+0	2.03397146E+2	5.63700918E+3	5.53720329E+3
1.69680000E+4	8.13718180E+1	-3.16072000E+5	5.83226000E+5	1.01600000E+3	2.74460000E+4	5.05139616E+0	4.96683040E+0	2.04557015E+2	5.52584636E+3	5.43334934E+3
1.69690000E+4	8.13495944E+1	-3.17976000E+5	5.85052000E+5	1.02200000E+3	2.77480000E+4	5.04990592E+0	4.96904128E+0	2.05673478E+2	5.58401353E+3	5.49475583E+3
