UTi2O6 Pd 25kV 3.5mA 0.5eV Si1266
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	2.63265000E+5	4.82500000E+3	2.78920000E+4	5.04961888E+0	4.96451200E+0	9.71898144E+2	5.61995472E+3	5.52536749E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	2.65382000E+5	4.60600000E+3	2.76000000E+4	5.04893152E+0	4.96389088E+0	9.27901139E+2	5.56194311E+3	5.46828569E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	2.67491000E+5	4.79600000E+3	2.75960000E+4	5.04914560E+0	4.96943200E+0	9.65100237E+2	5.55385470E+3	5.46627136E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	2.69593000E+5	4.48200000E+3	2.70960000E+4	5.04910912E+0	4.95532192E+0	9.04482105E+2	5.46987578E+3	5.36827376E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	2.71688000E+5	4.38700000E+3	2.69710000E+4	5.05120448E+0	4.95909088E+0	8.84637952E+2	5.43978658E+3	5.34090435E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	2.73775000E+5	4.43500000E+3	2.66030000E+4	5.05181504E+0	4.96452064E+0	8.93339019E+2	5.35959933E+3	5.26701785E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	2.75856000E+5	4.47000000E+3	2.69460000E+4	5.05065344E+0	4.96163488E+0	9.00912725E+2	5.43246638E+3	5.33673520E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	2.77929000E+5	4.33100000E+3	2.66300000E+4	5.05051008E+0	4.96584960E+0	8.72156901E+2	5.36333654E+3	5.27352675E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	2.79996000E+5	4.40100000E+3	2.67180000E+4	5.05127552E+0	4.96982688E+0	8.85543925E+2	5.37720800E+3	5.29054491E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	2.82056000E+5	4.45000000E+3	2.67350000E+4	5.05046688E+0	4.96615072E+0	8.96066239E+2	5.38460091E+3	5.29475802E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	2.84109000E+5	4.48100000E+3	2.66330000E+4	5.05077376E+0	4.96747872E+0	9.02067276E+2	5.36224700E+3	5.27384541E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	2.86155000E+5	4.56000000E+3	2.65380000E+4	5.04953568E+0	4.96545216E+0	9.18345370E+2	5.34501920E+3	5.25612684E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	2.88194000E+5	4.49700000E+3	2.67930000E+4	5.04920128E+0	4.96504544E+0	9.05731892E+2	5.39704642E+3	5.30717603E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	2.90227000E+5	4.45100000E+3	2.65460000E+4	5.05137088E+0	4.96311392E+0	8.96816005E+2	5.34921320E+3	5.25580098E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	2.92253000E+5	4.48000000E+3	2.62350000E+4	5.05006752E+0	4.96327200E+0	9.02630362E+2	5.28701899E+3	5.19616815E+3
1.69490000E+4	8.18059483E+1	-2.78798000E+5	2.94273000E+5	4.61300000E+3	2.64690000E+4	5.04990464E+0	4.96235424E+0	9.29599093E+2	5.33482455E+3	5.24247523E+3
1.69500000E+4	8.17825068E+1	-2.80815000E+5	2.96286000E+5	4.52000000E+3	2.62650000E+4	5.05084352E+0	4.96300864E+0	9.10737887E+2	5.29312898E+3	5.20130942E+3
1.69510000E+4	8.17591343E+1	-2.82825000E+5	2.98293000E+5	4.64200000E+3	2.64230000E+4	5.05018624E+0	4.96957280E+0	9.34084314E+2	5.31804141E+3	5.23327235E+3
