UTi2O6 Pd 25kV 3.5mA 0.5eV Si1266 offset
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
1.69340000E+4	8.21662737E+1	-2.47733000E+5	5.17545000E+5	3.29000000E+2	5.28000000E+3	5.05222944E+0	4.95594688E+0	6.63848923E+1	1.06677618E+3	1.04646871E+3
1.69350000E+4	8.21417211E+1	-2.49854000E+5	5.19586000E+5	2.97000000E+2	5.22100000E+3	5.05035744E+0	4.93004704E+0	6.02428329E+1	1.05961702E+3	1.03438223E+3
1.69360000E+4	8.21172473E+1	-2.51966000E+5	5.21620000E+5	3.14000000E+2	5.37600000E+3	5.05025152E+0	4.96676832E+0	6.32201826E+1	1.08440348E+3	1.06648154E+3
1.69370000E+4	8.20928517E+1	-2.54072000E+5	5.23647000E+5	3.19000000E+2	5.38200000E+3	5.05061344E+0	4.96995104E+0	6.41857430E+1	1.08451209E+3	1.06719710E+3
1.69380000E+4	8.20685336E+1	-2.56171000E+5	5.25666000E+5	3.36000000E+2	5.31000000E+3	5.04900512E+0	4.96821760E+0	6.76298880E+1	1.06979493E+3	1.05268263E+3
1.69390000E+4	8.20442921E+1	-2.58262000E+5	5.27679000E+5	3.34000000E+2	5.25800000E+3	5.04983616E+0	4.95519392E+0	6.74040220E+1	1.06168862E+3	1.04181598E+3
1.69400000E+4	8.20201267E+1	-2.60346000E+5	5.29684000E+5	3.62000000E+2	5.36100000E+3	5.05039456E+0	4.96292000E+0	7.29409299E+1	1.08159555E+3	1.06288725E+3
1.69410000E+4	8.19960366E+1	-2.62424000E+5	5.31683000E+5	2.98000000E+2	5.43400000E+3	5.05089568E+0	4.97534016E+0	5.98954022E+1	1.09276596E+3	1.07644274E+3
1.69420000E+4	8.19720212E+1	-2.64494000E+5	5.33675000E+5	3.33000000E+2	5.37600000E+3	5.04983680E+0	4.96620512E+0	6.70532110E+1	1.08389841E+3	1.06617307E+3
1.69430000E+4	8.19480797E+1	-2.66558000E+5	5.35660000E+5	2.83000000E+2	5.24700000E+3	5.04945248E+0	4.94910016E+0	5.71821121E+1	1.06137712E+3	1.04031081E+3
1.69440000E+4	8.19242115E+1	-2.68614000E+5	5.37638000E+5	2.84000000E+2	5.32200000E+3	5.04925824E+0	4.95941344E+0	5.72648365E+1	1.07429224E+3	1.05520450E+3
1.69450000E+4	8.19004161E+1	-2.70664000E+5	5.39609000E+5	3.22000000E+2	5.27400000E+3	5.04935040E+0	4.96146944E+0	6.49001277E+1	1.06338116E+3	1.04488688E+3
1.69460000E+4	8.18766926E+1	-2.72708000E+5	5.41574000E+5	3.17000000E+2	5.34900000E+3	5.05048384E+0	4.95898944E+0	6.39243144E+1	1.07982977E+3	1.06029445E+3
1.69470000E+4	8.18530406E+1	-2.74744000E+5	5.43532000E+5	3.39000000E+2	5.29800000E+3	5.04940896E+0	4.96849952E+0	6.82298546E+1	1.06752121E+3	1.05041997E+3
1.69480000E+4	8.18294594E+1	-2.76774000E+5	5.45484000E+5	3.26000000E+2	5.24600000E+3	5.05004480E+0	4.95788672E+0	6.57538218E+1	1.05909675E+3	1.03979276E+3
